Date	Game	Song	Group	Composers	Converters	Binary	Audio	Duration	Tracks	Categories	Notes
|	|Banjo-Tooie	|Mr Patch	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Mr Patch by Ballaam (c4c508d5-1def-484e-a9d2-5b541fdb0810).bin	|https://youtu.be/J9lAIdgxju0	|115.76464799999862	|11	|Fights, Happy, Minigames	|
|	|Banjo-Tooie	|Mumbos Skull	|bgm	|Grant Kirkhope	|gloomy	|binaries/Banjo-Tooie/Mumbos Skull by gloomy (0c0af3f6-be4e-4995-ae60-5b233e253f81).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1100440500537921586/BT_Mumbos_Skull.mp3	|77.71434400000007	|9	|Interiors, Calm	|
|	|Banjo-Tooie	|Targitzans Temple	|bgm	|Grant Kirkhope	|gloomy	|binaries/Banjo-Tooie/Targitzans Temple by gloomy (2c1acf85-c127-4d0e-b607-dc6c9fb0db12).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1105846953943773184/BT_Targitzans_Temple.mp3	|164.20716816666666	|10	|Interiors, Calm	|
|	|Banjo-Tooie	|Targitzan	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Targitzan by Ballaam (c4b93c6b-e7a1-4863-9b05-1878fbf95994).bin	|https://youtu.be/5Y-2vP-LMks	|122.5226399999996	|10	|Fights	|
|	|Banjo-Tooie	|Terry	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Terry by Ballaam (0c52e2e3-ac14-4547-a4e0-de5fca89b49f).bin	|https://youtu.be/ll43fkiM5BQ	|124.55408250000005	|12	|Fights	|
|	|Banjo-Tooie	|Tower of Tragedy	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Tower of Tragedy by Ballaam (30f3eee8-39f2-466d-9360-a3df046cb29b).bin	|https://youtu.be/mnb6Vv6Ezc4	|204.00000000000023	|10	|Minigames, Happy	|
|	|Banjo-Tooie	|Weldar	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Weldar by Ballaam (3e1ac6f9-a062-4aaa-b005-5e231eb9caeb).bin	|https://youtu.be/qV-etLtsEjU	|114.66725609374924	|10	|Fights	|
|	|Banjo-Tooie	|Witchyworld	|bgm	|Grant Kirkhope	|gloomy	|binaries/Banjo-Tooie/Witchyworld by gloomy (3dd3e593-13d9-4204-bf2a-4317ef88e38f).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1100896261374214174/BT_Witchyworld.mp3	|125.99987399999996	|10	|Interiors, Lobbies and Shops, Gloomy	|
|	|Banjo-Tooie	|Zombie Jingaling	|bgm	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Zombie Jingaling by Ballaam (2b5e7925-171b-4cf8-b090-1d28a6b810e7).bin	|https://youtu.be/iu0LzZrr6T0	|123.0	|7	|Interiors, Gloomy, Calm	|
|	|Banjo-Tooie	|Failure	|events	|Grant Kirkhope	|gloomy	|binaries/Banjo-Tooie/Failure by gloomy (8d9862bd-e35b-41f4-9895-b61bf3664eba).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1113494561604517908/BT_Failure.mp3	|4.80625	|7	|Spawning, Gloomy, Calm	|
|	|Banjo-Tooie	|Success (Banjo Tooie)	|majoritems	|Grant Kirkhope	|gloomy	|binaries/Banjo-Tooie/Success (Banjo Tooie) by gloomy (26de6a48-4dcd-4360-add7-9dad5ae627df).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1113494720098873364/BT_Success.mp3	|2.187501822916667	|4	|Spawning, Gloomy, Calm	|
|	|Banjo-Tooie	|Collect Note	|minoritems	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Collect Note by Ballaam (650ce439-bdea-4928-9b20-72be18718565).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1118552282766774292/collect-note.wav	|0.6180493750000001	|2	|Collection, Happy	|
|	|Banjo-Tooie	|Gold Feather Collect	|minoritems	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Gold Feather Collect by Ballaam (108b22ef-fa60-49fb-8c14-345fa4936c42).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1118552747151724705/gold-feather.wav	|0.75	|1	|Collection, Happy	|
|	|Banjo-Tooie	|Select Clockwork	|minoritems	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Select Clockwork by Ballaam (735aa4e2-2ae2-427e-ad30-ec3edfe273af).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1118552547108589578/select-clockwork.wav	|0.5736601406249999	|3	|Collection, Happy	|
|	|Banjo-Tooie	|Treble Clef Collect	|majoritems	|Grant Kirkhope	|Ballaam	|binaries/Banjo-Tooie/Treble Clef Collect by Ballaam (a40914a1-e7d2-423f-a19c-60c9b80b782e).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1118552409795465267/treble-collect.wav	|2.064583333333335	|2	|Collection, Happy	|
|	|Bomberman 64	|Blue Resort	|bgm	|Akifumi Tada	|AaronDobbe	|binaries/Bomberman 64/Blue Resort by AaronDobbe (fb478ddf-3f8b-436b-b7be-8d2b1ba2c10c).bin	|https://www.youtube.com/watch?v=4I96x8zK46A	|87.68340202083438	|14	|Exteriors, Calm	|
|	|Chrono Trigger	|Main Theme	|bgm	|Yasunori Mitsuda	|OnlySpaghettiCode	|binaries/Chrono Trigger/Main Theme by OnlySpaghettiCode (18c88334-1c8f-404f-9e33-a4fae67adb08).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1118394076224561203/CT_Main_Theme.mp3	|118.38449700000135	|12	|Exteriors, Happy	|
|	|Chrono Trigger	|Memories of Green	|bgm	|Yasunori Mitsuda	|OnlySpaghettiCode	|binaries/Chrono Trigger/Memories of Green by OnlySpaghettiCode (90344e2f-2708-4867-b176-49c4e8a8915a).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1118394290587045898/CT_Memories_of_Green.mp3	|109.50435478124818	|7	|Lobbies and Shops, Calm	|
|	|Crash Bandicoot 2: Cortex Strikes Back	|Crash Dash	|bgm	|Josh Mancell	|GlitchGlider	|binaries/Crash Bandicoot 2 Cortex Strikes Back/Crash Dash by GlitchGlider (27dad9dc-6747-4958-b9dc-d98c4a32d6b3).bin	|https://youtu.be/08a1Eris_CE	|109.36684800000177	|14	|	|
|	|Crash Bandicoot 2: Cortex Strikes Back	|Snow Go	|bgm	|Josh Mancell	|GlitchGlider	|binaries/Crash Bandicoot 2 Cortex Strikes Back/Snow Go by GlitchGlider (9f3cb012-e055-4d8c-bab1-2443e291cdf9).bin	|https://youtu.be/NQnspzFgFzc	|102.39999999999765	|14	|	|
|	|Deus Ex	|Unatco	|bgm	|Michiel van den Bos	|GlitchGlider	|binaries/Deus Ex/Unatco by GlitchGlider (4f7da697-d1fb-4466-8113-f0328bda9896).bin	|https://youtu.be/Y3sTs-3omuA	|92.5377061250002	|12	|	|
|	|Diddy Kong Racing	|Ancient Lake	|bgm	|David Wise	|Bismuth	|binaries/Diddy Kong Racing/Ancient Lake by Bismuth (1e8d5494-2518-492a-8bd6-762473d9c91f).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505247397482496/AncientLake.mp3	|93.33324000000118	|12	|Exteriors, Minigames, Happy	|
|	|Diddy Kong Racing	|Boss Challenge	|bgm	|David Wise	|Bismuth	|binaries/Diddy Kong Racing/Boss Challenge by Bismuth (a434c967-eaea-4b85-b2e6-f22916f87403).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505274694029343/BossChallenge.mp3	|72.72639999999697	|16	|Minigames, Fights, Happy	|
|	|Diddy Kong Racing	|Character Select	|bgm	|David Wise	|Bismuth	|binaries/Diddy Kong Racing/Character Select by Bismuth (3b3df71a-6408-4bfe-b846-a055e5cf54c9).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505294113648690/CharacterSelect.mp3	|65.93399999999974	|11	|Exteriors, Happy	|
|	|Diddy Kong Racing	|Menu	|bgm	|David Wise	|Bismuth	|binaries/Diddy Kong Racing/Menu by Bismuth (f3417919-1dc6-4184-b212-a571f935bd6f).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505374921117696/Menu.mp3	|48.01041666666664	|10	|Lobbies and Shops	|
|	|Diddy Kong Racing	|Wizpig	|bgm	|David Wise	|Ballaam	|binaries/Diddy Kong Racing/Wizpig by Ballaam (94ab664b-297a-439f-9579-30c93146ce53).bin	|https://www.youtube.com/watch?v=MrEGof9y0oE	|83.55060766666648	|16	|Fights, Happy	|
|	|Diddy Kong Racing	|Greenwood Village	|bgm	|David Wise	|Bismuth	|binaries/Diddy Kong Racing/Greenwood Village by Bismuth (72325779-610e-41f4-819b-a43c63dfe672).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505315865305108/GreenwoodVillage.mp3	|78.18087999999914	|15	|Exteriors, Happy	|
|	|Diddy Kong Racing	|Haunted Woods	|bgm	|David Wise	|Bismuth	|binaries/Diddy Kong Racing/Haunted Woods by Bismuth (ef99f62a-23bc-42b5-b360-06904fd31acf).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505334886469722/HauntedWoods.mp3	|73.125	|14	|Interiors, Lobbies and Shops, Gloomy	|
|	|Diddy Kong Racing	|Jungle Falls	|bgm	|David Wise	|Bismuth	|binaries/Diddy Kong Racing/Jungle Falls by Bismuth (30fca835-3374-4d6e-a953-a73d9383e6df).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505357934182501/JungleFalls.mp3	|76.36271999999944	|16	|Exteriors, Minigames, Happy	|
|	|Diddy Kong Racing	|Pirate Lagoon	|bgm	|David Wise	|Bismuth	|binaries/Diddy Kong Racing/Pirate Lagoon by Bismuth (2db14d71-85dd-4686-8e17-d64b4b5e3795).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505398652481666/PirateLagoon.mp3	|79.99903999999826	|16	|Lobbies and Shops, Exteriors, Happy	|
|	|Diddy Kong Racing	|Star City	|bgm	|David Wise	|Bismuth	|binaries/Diddy Kong Racing/Star City by Bismuth (7c0035d5-bc16-44c7-a764-5ccc73482bf2).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505433834291260/StarCity.mp3	|104.3472000000004	|12	|Exteriors, Happy	|
|	|Donkey Kong 64	|Beta Factory	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Donkey Kong 64/Beta Factory by Bismuth (7e9dab7b-9c52-49b6-9e2f-3bcace66a4bf).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505477379567676/BetaFactory.mp3	|137.77764000000153	|14	|Exteriors, Calm	|
|	|Donkey Kong 64	|Candys Music Shop Alternate Edition	|bgm	|Grant Kirkhope	|Bismuth	|binaries/Donkey Kong 64/Candys Music Shop Alternate Edition by Bismuth (21050d1f-866c-4208-bf05-7e7f008ca648).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1127505499508723774/CandysMusicShopAlternateEdition.mp3	|66.93411012499982	|8	|Lobbies and Shops, Calm	|
|	|Donkey Kong Country 2: Diddy's Kong Quest	|Stickerbush Symphony	|bgm	|David Wise	|Wolfeni	|binaries/Donkey Kong Country 2 Diddys Kong Quest/Stickerbush Symphony by Wolfeni (473742a9-872f-40c4-bcd7-99b0feb38e6e).bin	|https://www.youtube.com/watch?v=gGfVZb7Lb_g	|127.34695999999833	|15	|Exteriors	|
|	|Donkey Kong Country Returns	|Rickety Rails	|bgm	|Kenji Yamamoto	|Bismuth	|binaries/Donkey Kong Country Returns/Rickety Rails by Bismuth (5baebd1d-d685-4c0a-8d1b-776b0ef4a46c).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1129256985200689212/RicketyRails.mp3	|105.00000000000033	|16	|Minigames, Lobbies and Shops	|
|	|Donkey Kong Country: Tropical Freeze	|Scorch n Torch	|bgm	|David Wise	|OnlySpaghettiCode	|binaries/Donkey Kong Country Tropical Freeze/Scorch n Torch by OnlySpaghettiCode (61f96615-23f0-4b3c-99e0-947db83f84c5).bin	|https://cdn.discordapp.com/attachments/1097234540373745854/1116420154222461049/DKCTF_Scorch_n_Torch.mp3	|95.00552045833	|16	|Exteriors, Calm, Gloomy	|
